faculty	TPA/KULT
humanity	HAOU/PHAPBT
oddity	OTD
severity	SE/SRERT
sentimentality	SEPB/TEU/-PLT/KWRALT
relativity	RE/HRA/TEUFT
legality	HRAOE/TKPWALT
survivability	SUR/SRAOEUFBLT
variability	SRAEUR/KWRABLT
loyalty	HROEULT
agility	A/SKWREULT
feasibility	TPAOEFBLT
polarity	POE/HRAEURT
ambiguity	APL/PWEU/TKPWAOUT
ubiquity	AOU/PWEUBGT
serendipity	SER/KWREPB/TKEUPT
vulgarity	SRUL/TKPWAEURT
viscosity	SREUS/KOFT
festivity	TPES/TEUFT
molarity	PHOE/HRAEURT
uniformity	AOUPB/TPORPLT
sublimity	SUB/HREUPLT
peculiarity	PE/KAOUL/KWRART
molarity	PHOE/HRAERT
ethnicity	*ET/TPHEUFT
liquidity	HREU/KWEUTD
rapidity	RA/PEUTD
electricity	E/HREBG/TREUFT
plasticity	PHRAS/TEUFT
resonator	RE/SO/TPHAEURT
generator	SKWRE/TPHER/KWRAEURT
narrator	TPHAEUR/KWRAEURT
aviator	AEUF/KWRAEURT
refrigerator	RE/TPREUPBLG/RAEURT
elevator	E/HRE/SRAEURT
mediator	PHAOED/KWRAEURT
fabricator	TPAB/REU/KAEURT
percolator	PER/KO/HRAEURT
spectators	SPEBG/TAEURTS
skater	SKAEURT
hater	HAEURT
crater	KRAEURT
later	HRAEURT
flagrantly	TPHRA/TKPWRAPBLT
urgently	UR/SKWREPBLT
absolutely	AB/SO/HRAOULT
innocently	EUPB/KWROE/SEPBLT
persistently	PER/SEUFT/KWREPBLT
joyously	SKWROEU/KWRULS
patiently	PAEU/SHEPBLT
precariously	PRE/KAEURLS
precisely	PRE/SAOEULS
subsequently	SUB/SE/KWEPBLT
instantly	EUPB/STAPBLT
voraciously	SROR/KWRAEU/SHULS
separately	SEP/RAEULT
redundantly	RAOE/TKUPB/TKAPBLT
predominantly	PRE/TKO/PHEU/TPHAPBLT
secondly	SE/KOPBLD
consistently	KOPB/SEUFT/KWREPBLT
analogously	A/TPHAL/TKPWULS
pompously	POPL/PULS
incoherently	EUPB/KOE/HAOERPBLT
redundantly	RE/TKUPB/TKAPBLT
obviously	OB/SREU/KWRULS
mischievously	PHEUS/KHAOEF/KWRULS
elaborately	E/HRAB/RALT
silently	SAOEU/HREPBLT
vigorously	SREUG/RULS
veraciously	SRER/KWRAEURBLS
horrendously	HOR/KWREPB/TKULS
abruptly	A/PWRUPLT
ornately	OR/TPHAEULT
directory	TKAOEU/REBG/TOER
repository	RAOE/PO/SEU/TOER
ivory	AOEU/SROER
circulatory	SEUR/KAOU/HRA/TOER
advisory	AD/SRAOEUZ/KWROER
factory	TPABG/TOER
trajectory	TRA/SKWREBG/TOER
statutory	STA/KHAOU/TOER
glory	TKPWHROER
prehistory	PRE/HEUS/TOER
sensory	SEPBS/KWROER
sorry	SOER
story	STOER
migratory	PHAOEUG/RA/TOER
auditory	AU/TKEU/TOER
regulatory	RE/TKPWAOU/HRA/TOER
predatory	PRE/TKA/TOER
defamatory	TKE/TPA/PHA/TOER
compulsory	KOPL/PUL/SOER
accessory	ABG/SE/SOER
celebratory	SE/HRE/PWRA/TOER
memory	PHE/PHOER
history	HEUS/TOER
gory	TKPWOER
expiratory	EBGS/PEUR/KWRA/TOER
oratory	OR/KWRA/TOER
allegory	A/HRE/TKPWOER
unsatisfactory	UPB/SA/TEUS/TPABG/TOER
observatory	OB/SER/SRA/TOER
territory	TER/KWREU/TOER
biliary	PWEU/HREU/KWRAER
commentary	KO/PHEPB/TAER
papillary	PA/PEU/HRAER
penitentiary	PE/TPHEU/TEPB/SHEU/KWRAER
diary	TKEU/KWRAER
supernumerary	SAOU/PER/TPHAOU/PHER/KWRAER
barbary	PWAR/PWAER
aviary	AEUF/KWRAER
judiciary	SKWRAOU/TKEURB/KWRAER
cavitary	KA/SREU/TAER
obituary	OE/PWEUFP/WAER
complementary	KOPL/PHREPLT/KWRAER
unitary	AOU/TPHEU/TAER
ovary	OE/SRAER
fragmentary	TPRAG/-PLT/KWRAER
sanitary	SA/TPHEU/TAER
summary	SU/PHAER
proprietary	PROE/PRAOEU/KWRE/TAER
momentary	PHOEPLT/KWRAER
temporary	TEPL/POR/KWRAER
boundary	PWOUPB/TKAER
primary	PRAOEU/PHAER
dictionary	TKEUBGS/KWRAER
involuntary	EUPB/SRO/HRUPB/TAER
elementary	E/HREPLT/KWRAER
literary	HREU/TER/KWRAER
monetary	PHO/TPHE/TAER
adversary	AD/SRER/SAER
arbitrary	AR/PWEU/TRAER
synchrony	SEUPB/KROEPB
disharmony	TKEUS/HAR/PHOEPB
lobectomy	HROE/PWEBG/TOEPL
testimony	TES/TEU/PHOEPB
antimony	APB/TEU/PHOEPB
parsimony	PAR/SEU/PHOEPB
matrimony	PHA/TREU/PHOEPB
entropy	EPB/TROEP
sanctimony	SAPBG/TEU/PHOEPB
harmony	HAR/PHOEPB
pneumectomy	TPHAOU/PHEBG/TOEPL
idiocy	EUD/KWROES
ectopy	EBG/TOEP
