wishful	WEURB/-FL
lawful	HRAU/-FL
dreadful	TKRED/-FL
grateful	TKPWRAEUT/-FL
awful	AU/-FL
playful	PHRAEU/-FL
joyful	SKWROEU/-FL
tasteful	TAEUFT/-FL
boastful	PWOEFT/-FL
armful	ARPL/-FL
lustful	HRUFT/-FL
mournful	PHAOURPB/-FL
painful	PAEUPB/-FL
wistful	WEUFT/-FL
earful	AOER/-FL
doubtful	TKOUT/-FL
harmful	HARPL/-FL
restful	REFT/-FL
fateful	TPAEUT/-FL
peaceful	PAES/-FL
stressful	STRES/-FL
truthful	TRAO*UT/-FL
artful	ART/-FL
rightful	RAOEUT/-FL
handful	HAPBD/-FL
pitiful	PEUT/-FL
tearful	TAER/-FL
darkness	TKARBG/-PBS
quaintness	KWAEUPBT/-PBS
sourness	SOUR/-PBS
gladness	TKPWHRAD/-PBS
weakness	WAEBG/-PBS
coarseness	KAORS/-PBS
spitefulness	SPAOEUT/-FL/-PBS
staleness	STAEUL/-PBS
openness	OEP/-PBS
lowness	HROE/-PBS
quickness	KWEUBG/-PBS
cautiousness	KAURBS/-PBS
vagueness	SRAEUG/-PBS
fitness	TPEUT/-PBS
kindness	KAOEUPBD/-PBS
frankness	TPRA*PBG/-PBS
sickness	SEUBG/-PBS
closeness	KHROES/-PBS
thickness	THEUBG/-PBS
likeness	HRAOEUBG/-PBS
looseness	HRAOS/-PBS
roughness	RUF/-PBS
illness	EUL/-PBS
