agility	A/SKWREULT
ambiguity	APL/PWEU/TKPWAOUT
electricity	E/HREBG/TREUFT
ethnicity	*ET/TPHEUFT
faculty	TPA/KULT
feasibility	TPAOEFBLT
festivity	TPES/TEUFT
humanity	HAOU/PHAPBT
legality	HRAOE/TKPWALT
liquidity	HREU/KWEUTD
loyalty	HROEULT
molarity	PHOE/HRAERT
molarity	PHOE/HRAEURT
oddity	OTD
peculiarity	PE/KAOUL/KWRART
plasticity	PHRAS/TEUFT
polarity	POE/HRAEURT
rapidity	RA/PEUTD
relativity	RE/HRA/TEUFT
sentimentality	SEPB/TEU/-PLT/KWRALT
serendipity	SER/KWREPB/TKEUPT
severity	SE/SRERT
sublimity	SUB/HREUPLT
survivability	SUR/SRAOEUFBLT
ubiquity	AOU/PWEUBGT
uniformity	AOUPB/TPORPLT
variability	SRAEUR/KWRABLT
viscosity	SREUS/KOFT
vulgarity	SRUL/TKPWAEURT
